Row Labels,Condominiums and Other Apartments,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Landed Properties,Others,Grand Total
Ang Mo Kio,14480,11030,54320,42660,21650,0,16040,1390,161570
Bedok,58970,10450,52850,65970,44450,0,43320,2630,278640
Bishan,17540,1020,4630,27270,24460,0,10180,650,85750
Boon Lay,0,0,0,0,0,0,0,0,0
Bukit Batok,28250,7960,28400,57800,35980,0,5720,1050,165160
Bukit Merah,16190,21070,34010,47150,29550,0,390,1270,149630
Bukit Panjang,19550,2680,9680,53980,47930,0,3220,350,137390
Bukit Timah,38950,140,810,2440,3340,0,32780,780,79240
Central Water Catchment,0,0,0,0,0,0,0,0,0
Changi,0,0,320,0,0,0,420,1090,1830
Changi Bay,0,0,0,0,0,0,0,0,0
Choa Chu Kang,24360,5160,6680,77550,73530,0,2510,540,190330
Clementi,20560,2470,24990,26370,12940,0,5750,1050,94130
Downtown Core,3130,0,0,630,0,0,0,110,3870
Geylang,21400,7910,26710,30450,14820,0,6310,1980,109580
Hougang,32490,6520,25690,84530,52490,0,21930,3890,227540
Jurong East,6940,2190,16750,24690,25350,0,0,640,76560
Jurong West,18040,8540,31300,96990,98330,0,4310,1030,258540
Kallang,20880,10980,24480,27610,14220,0,1340,1530,101040
Lim Chu Kang,0,0,0,0,0,0,0,0,0
Mandai,1290,0,0,0,0,0,770,30,2090
Marina East,0,0,0,0,0,0,0,0,0
Marina South,0,0,0,0,0,0,0,0,0
Marine Parade,17910,3200,5930,4530,5070,0,9100,280,46020
Museum,620,0,0,0,0,0,0,0,620
Newton,8180,0,0,0,0,0,520,280,8980
North-Eastern Islands,0,0,0,0,0,0,0,0,0
Novena,21110,1410,7390,7740,4470,0,7890,780,50790
Orchard,1010,0,0,0,0,0,0,60,1070
Outram,860,4920,4660,4670,1950,0,0,410,17470
Pasir Ris,38630,1300,880,37520,60200,0,7180,550,146260
Paya Lebar,0,0,0,0,0,0,0,0,0
Pioneer,0,0,0,0,0,0,0,0,0
Punggol,23050,11340,15340,75050,60730,0,400,360,186270
Queenstown,14230,7250,27950,28350,14510,0,3290,1290,96870
River Valley,10530,0,0,0,0,0,620,0,11150
Rochor,2590,710,4250,3990,650,0,10,440,12640
Seletar,0,0,0,0,0,0,260,0,260
Sembawang,11770,8240,5080,38580,39950,0,4060,810,108490
Sengkang,35990,8340,10800,99080,96570,0,1610,730,253120
Serangoon,19670,1440,9430,30250,20480,0,36280,790,118340
Simpang,0,0,0,0,0,0,0,0,0
Singapore River,3530,0,0,0,0,0,0,50,3580
Southern Islands,1650,0,0,0,0,0,600,10,2260
Straits View,0,0,0,0,0,0,0,0,0
Sungei Kadut,0,0,0,0,0,0,660,0,660
Tampines,29970,7450,33770,101320,87450,0,4450,1280,265690
Tanglin,18070,0,0,180,290,0,4460,150,23150
Tengah,0,0,0,0,0,0,0,0,0
Toa Payoh,16650,9550,35800,36140,24200,0,5500,1040,128880
Tuas,0,0,0,0,0,0,0,0,0
Western Islands,0,0,0,0,0,0,0,0,0
Western Water Catchment,0,0,0,0,0,0,0,610,610
Woodlands,17680,11950,19290,101860,99960,0,790,980,252510
Yishun,21000,9960,39500,99320,46640,0,5750,790,222960