identifier,classification,,,,,,
1,Medium,Tampines,East,Community,Club,,
2,Medium,Tampines,Mall,,,,
3,Medium,Tampines,West,CC,,,
4,Low,Bedok,Reservoir,,,,
5,High,Pasir,Ris,Sports,Complex,,
6,Medium,Changi,City,Point,,,
7,Medium,Bedok,North,,,,
8,Medium,Bedok,Reservoir,Park,,,
9,Low,White,Sands,Pasir,Ris,Central,
10,Medium,Tampines,Green,View,,,
11,Medium,Loyang,Point,,,,
12,Medium,Tampines,Neighborhood,3,,,
13,High,Shell,Tampines,,,,
14,Medium,Eastpoint,Mall,,,,
15,School,Temasek,Poly,,,,
16,Medium,Our,Tampines,Hub,,,
17,Medium,Elias,Community,Centre,,,
18,Medium,Downtown,East,,,,
19,Medium,Sengkang,Rivervale,,,,
20,High,T3,Arrival,Hall,,,
21,Medium,Paya,Lebar,Square,,,
22,Medium,Bedok,Mall,,,,
23,Low,Hougang,Mall,,,,
24,Medium,Hougang,8,,,,
25,High,Jewel,,,,,
26,Medium,Siglap,,,,,
27,Medium,Geylang,East,Central,,,
28,Medium,Rivervale,Mall,,,,
29,Low,Hougang,,,,,
30,Medium,Punggol,21,Community,Centre,,
31,Medium,Parkway,Centre,,,,
32,High,Sengkang,Sports,Complex,,,
33,High,Shell,Hougang,,,,
34,Medium,Buangkok,Square,,,,
35,High,Marine,Cove,,,,
36,High,Kallang,Stadium,,,,
37,Medium,Siglap,CC,,,,
38,Medium,Hougang,1,,,,
39,Medium,Serangoon,Avenue,3,,,
40,Medium,Aperia,Mall,,,,
41,Low,Bendemeer,,,,,
42,Medium,Compass,One,,,,
43,Medium,City,Square,Mall,,,
44,Low,Toa,Payoh,Central,,,
45,Medium,Potong,Pasir,,,,
46,High,Changi,Airport,T2,Transit,Lounge,
47,Low,Toa,Payoh,HDB,Center,,
48,High,Ang,Mo,Kio,Park,,
49,Medium,Seletar,Mall,,,,
50,Medium,Waterway,Point,,,,
51,Medium,Punggol,Oasis,,,,
52,Medium,Plaza,Singapura,,,,
53,Medium,Toa,Payoh,Lorong,1,,
54,Low,Ang,Mo,Kio,Ave,10,
55,Medium,Parklane,,,,,
56,Medium,NEX,,,,,
57,High,Toa,Payoh,SAFRA,,,
58,Medium,Bishan,Junction,8,,,
59,Low,Bugis,Village,,,,
60,High,Marina,Square,,,,
61,Medium,V,Hotel,,,,
62,High,Punggol,SAFRA,,,,
63,High,United,Square,,,,
64,Low,Ang,Mo,Kio,Big,Mac,Centre
65,Medium,Bugis,Junction,,,,
66,High,Raffles,City,,,,
67,High,Suntec,City,,,,
68,Medium,ZhongShan,Mall,,,,
69,Medium,Ang,Mo,Kio,Ave,4,
70,Tourist,Lucky,Plaza,,,,
71,High,SpringLeaf,Tower,,,,
72,Tourist,LIDO,Shaw,House,,,
73,Medium,Chinatown,Point,,,,
74,Medium,Northshore,Plaza,,,,
75,High,Forum,Galleria,,,,
76,High,Boat,Quay,,,,
77,High,Bishan,Park,,,,
78,Medium,Tiong,Bahru,Plaza,,,
79,High,Funan,,,,,
80,Medium,Sengkang,Grand,Mall,,,
81,Medium,Yishun,,,,,
82,Low,Northpoint,,,,,
83,Low,Khatib,,,,,
84,Medium,People's,Park,,,,
85,Tourist,Gardens,By,The,Bay,,
86,Medium,Queensway,Ridout,Tea,Garden,,
87,Medium,Metropolis,,,,,
88,Low,Alocassia,,,,,
89,Medium,Farrer,Road,,,,
90,High,Great,World,City,,,
91,Low,Woodlands,Mart,,,,
92,School,Singapore,Polytechnic,2,,,
93,Medium,Sun,Plaza,,,,
94,High,PSA,,,,,
95,Low,Woodlands,Civic,Centre,,,
96,Medium,Fajar,,,,,
97,High,West,Coast,Park,,,
98,Low,Bukit,Panjang,Plaza,,,
99,Low,Causeway,Point,,,,
100,Low,Queensway,Shopping,Centre,,,
101,Medium,Beauty,World,Centre,,,
102,Low,Choa,Chu,Kang,CC,,
103,Medium,Clementi,Ave,3,,,
104,High,SAFRA,Yishun,,,,
105,Medium,Clementi,Mall,,,,
106,Medium,Greenridge,Shopping,Centre,,,
107,Low,Yew,Tee,Point,,,
108,Low,Jurong,East,24,,,
109,Low,Bukit,Batok,West,,,
110,Low,Regal,,,,,
111,Low,Vista,Point,,,,
112,High,TradeHub,21,,,,
113,Medium,Bukit,Batok,,,,
114,Medium,JEM,,,,,
115,Medium,Jurong,Point,,,,
116,Medium,Hillion,Mall,,,,
117,Medium,Keat,Hong,,,,
118,Medium,Bukit,Gombak,,,,
119,Medium,Jcube,,,,,
120,Low,IMM,,,,,
121,Tourist,Resorts,World,Sentosa,,,
122,Medium,Choa,Chu,Kang,Lot,1,
123,Low,Gek,Poh,Jurong,West,75,
124,School,Nanyang,Technological,University,,,
125,Medium,Woodgrove,,,,,
126,Low,888,Plaza,,,,
127,Low,Woodlands,North,Plaza,,,
128,Medium,Sembawang,Shopping,Centre,,,
129,Low,Yishun,Ring,Road,,,
130,Medium,Yishun,Blossom,Spring,,,
131,Medium,Canberra,,,,,
132,Medium,Limbang,,,,,
133,Medium,Le,Quest,,,,
134,Medium,Jurong,Green,CC,,,
135,Medium,Jurong,Spring,Community,Centre,,
136,Medium,Pioneer,Mall,,,,
137,Medium,Fairprice,Hub,,,,
138,High,Jurong,Central,Park,,,
139,High,Jurong,Bowl,,,,
140,High,Harbourfront,Centre,,,,
141,High,Vivocity,,,,,
142,High,Shell,Havelock,,,,
143,Medium,Tampines,near,CPF,Building,,
144,Medium,Admiralty,Place,,,,